Player,EVENTS_PLAYED,POINTS,POINT_RANKING,POINTS PER EVENT,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,ROUNDS_PLAYED,TOTAL_SG:PUTTING,AVG_Driving_DISTANCE,UP_AND_DOWN_%,BIRDIE_OR_BETTER,BIRDIE_OR_BETTER_PER_ROUND,MISSED_GIR,FAIRWAY_HIT_%,GIR_RANK,SAND_SAVE%,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,AVG_BALL_SPEED,AVG_SPIN_RATE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,AGE
Bryson DeChambeau,24,5617,1,234.04,3,9,85,21.533,306.4,61.68,272,3.056179775,441,61.23,26,48.09,39,3.5,56,1.385,0.579,0.654,0.151,175.43,2593.9,69.624,6194,89,24
Dustin Johnson,18,3289,2,182.72,3,11,69,25.126,314.5,63.31,214,3.057142857,338,57.96,27,50.63,21,1.67,21,1.987,1.006,0.824,0.157,181.43,2713.8,68.702,4799,70,34
Justin Rose,16,3191,3,199.44,2,9,62,20.974,303.1,63.64,189,3.048387097,297,64.42,31,58.82,19,2.33,26,1.363,0.592,0.414,0.357,172.33,2416,69,4282,62,38
Tony Finau,26,3169,4,121.88,0,10,97,8.25,316.3,58.01,268,2.85106383,462,53.9,18,45.89,41,2.25,38,1.252,0.509,0.49,0.254,181.77,2724.8,69.515,6537,94,28
Justin Thomas,21,3084,5,146.86,3,9,83,16.658,312.9,63.14,245,3.141025641,388,58.01,32,53.45,22,2.49,35,1.653,0.471,0.967,0.215,176.02,2405.5,69.117,5388,78,25
Brooks Koepka,15,2551,6,170.07,2,6,56,-0.183,313.4,64.69,185,3.189655172,286,57.2,56,52.56,16,3.54,37,1.226,0.767,0.228,0.23,180.62,2714.4,69.31,4018,58,28
Bubba Watson,22,2277,7,103.50,3,6,82,-1.924,313.6,57.18,219,2.92,383,58.43,34,47.01,34,2.44,33,0.82,0.861,0.092,-0.133,181.33,2864.5,70.25,5246,75,39
Cameron Smith,22,2231,8,101.41,0,7,77,16.169,298.8,62.47,278,3.756756757,445,57.01,160,57.04,33,1.73,23,0.198,-0.028,-0.01,0.236,169.79,2520.8,70.525,5213,74,25
Phil Mickelson,22,1969,9,89.50,1,6,82,48.801,299.9,60.85,286,3.445783133,470,52.33,127,60.9,29,2.34,35,0.617,-0.147,0.634,0.13,173.78,2714.9,69.927,5802,83,48
Jason Day,18,1935,10,107.50,2,5,67,33.632,310.7,64.46,234,3.65625,363,59.02,124,64.17,24,1.91,22,0.725,0.229,-0.133,0.629,176.44,2131,69.586,4461,64,30
Webb Simpson,24,1848,11,77.00,1,7,87,41.8,293.6,66.59,309,3.511363636,464,61.96,75,63.04,24,1.7,27,0.734,-0.07,0.489,0.315,164.85,2575.9,69.311,6097,88,33
Patrick Cantlay,21,1838,12,87.52,1,7,79,-3.052,303.2,59.17,213,2.802631579,360,61.52,11,54.64,15,3.29,45,1.489,0.723,0.567,0.199,172.73,2527.3,69.861,5313,76,25
Patrick Reed,24,1761,13,73.38,1,7,86,7.698,299.3,64.26,311,3.792682927,484,54.11,159,55.35,33,2.24,33,0.89,0.091,0.255,0.543,173.39,3048.3,69.982,5749,82,28
Francesco Molinari,18,1682,14,93.44,2,4,65,-21.89,301.6,60.13,187,2.833333333,311,63.97,16,50,23,3.03,36,1.674,0.767,0.702,0.205,169.12,2812,69.746,4613,66,35
Billy Horschel,25,1610,15,64.40,1,4,78,22.868,296.1,57.84,225,2.884615385,389,67.6,10,50,38,2.56,36,0.649,0.559,0.278,-0.189,169.92,2645.4,70.258,5449,78,31
Kyle Stanley,24,1525,16,63.54,0,5,85,6.434,296.2,56.72,228,2.714285714,402,71.45,4,44.68,44,3.17,48,0.798,0.489,0.271,0.038,168.07,2891.2,70.441,5906,84,30
